Years,No. of Days,,Year,Count of CDF_FILE,,Years,Count of none_data,,,,
1994,365,,1994,44,,1994,321,,,,
1995,365,,1995,365,,1996,5,,,,
1996,366,,1996,361,,1997,16,,,,
1997,365,,1997,349,,1998,2,,,,
1998,365,,1998,363,,1999,5,,Total no. Years [1997 -2022] ,25,
1999,365,,1999,360,,2000,4,,,,
2000,366,,2000,362,,2001,2,,No. data available,9291,dates
2001,365,,2001,363,,2002,5,,No.non avaible data,205,dates
2002,365,,2002,360,,2004,2,,,,
2003,365,,2003,365,,2005,6,,,,
2004,366,,2004,364,,2006,8,,,,
2005,365,,2005,359,,2009,3,,,,
2006,365,,2006,357,,2010,31,,,,
2007,365,,2007,365,,2011,14,,,,
2008,366,,2008,366,,2012,2,,,,
2009,365,,2009,362,,2013,12,,,,
2010,365,,2010,334,,2014,76,,,,
2011,365,,2011,351,,2018,1,,,,
2012,366,,2012,364,,2019,1,,,,
2013,365,,2013,353,,2020,2,,,,
2014,365,,2014,289,,2021,12,,,,
2015,365,,2015,365,,2022,1,,,,
2016,366,,2016,366,,2023,2,,,,
2017,365,,2017,365,,2024,308,,,,
2018,365,,2018,364,,Grand Total,841,,,,
2019,365,,2019,364,,,,,,,
2020,366,,2020,364,,,,,,,
2021,365,,2021,353,,,,,,,
2022,365,,2022,364,,,,,,,
2023,365,,2023,363,,,,,,,
2024,366,,2024,58,,,,,,,
Grand Total,11323,,Grand Total,10482,,,,,,,
